fecha,fallecidos totales,Cementerio Municipal,Campo Santo Santa Ana,"0 - 12 años
CM","12 - 18 años
CM","18 - 40 años
CM","40 - 65 años
CM","65 años en adelante
CM","confirmado COVID
CM","sospecha COVID
CM","NO COVID
CM","Hombres
CSSA","Mujeres
CSSA","0 - 12 años
CSSA","12 - 18 años
CSSA","18 - 40 años
CSSA","40 - 65 años
CSSA","65 años en adelante
CSSA","confirmado COVID
CSSA","sospecha COVID
CSSA","NO COVID
CSSA",0 - 12 años,12 - 18 años,18 - 40 años,40 - 65 años,65 años en adelante,confirmado COVID,sospecha COVID,NO COVID
4/7/20,10,4,6,,,,2,2,3,,1,5,1,,,,2,4,5,1,,0,0,0,4,6,8,1,1
5/7/20,3,1,2,,,,1,,,,1,,2,,,,,2,1,,1,0,0,0,1,2,1,0,2
6/7/20,7,3,4,,,,,3,,,3,2,2,,,,,4,,,4,0,0,0,0,7,0,0,7
7/7/20,7,4,3,,,,1,3,1,,3,2,1,,,,1,2,1,1,1,0,0,0,2,5,2,1,4
8/7/20,5,3,2,,,,,3,1,,2,,2,,,,,2,2,,,0,0,0,0,5,3,0,2
9/7/20,8,2,6,,,,1,1,1,,1,3,3,,,1,1,4,4,,2,0,0,1,2,5,5,0,3
10/7/20,7,3,4,,,1,,2,2,,1,2,2,,1,1,1,1,,3,1,0,1,2,1,3,2,3,2
11/7/20,3,3,0,,,,1,2,1,1,1,,,,,,,,,,,0,0,0,1,2,1,1,1
12/7/20,1,1,0,,,,,1,,,1,,,,,,,,,,,0,0,0,0,1,0,0,1
13/7/20,5,5,0,,,,1,4,1,3,1,,,,,,,,,,,0,0,0,1,4,1,3,1
14/7/20,3,3,0,,,,,3,1,,2,,,,,,,,,,,0,0,0,0,3,1,0,2
